ketone urne|ketne urie|mchc blood
reptilase time blood|time reptilase blood|drugs ctone bld
hypersegmne neutrohils bloo|hypersegmented neutrophils manl blood|bld thyroglobulin serp
diastase amylase, pleural pleurl|alpha amylase pleural amylase, pleural|phosphate calcium crystals urine
blood hematocrit quant|bld hmaocrit elect|ascites monoytes
urobilinogen urine random|urobilinogen urine|blood cd5
ld, body fluid other body fluid|ld, fluid body other body fluid|cholesterol, blood measured ldl,
quan fluid nitrogen, body urea other body fluid|urea nitrogen, bodyfluid other body fluid|blood yphcyte
phenytoin, blood free percent|henytoin, blood fee perent|cd4/cd8 ratio other body fluid
urine yeast hyphenated|hyphenatedyeast rine|yest uri
lymphs cerbrospinal fluid (csf) white blood cell|lymphs cerebrospinal fluid (csf)|urine yeast
hepatitis b virus antibody core blood|hepatitis b virus core antibody blood|24 hr urine creatinine
albumin, body fluid other body fluid|lbuin, bo fluidothebodyfluid|metamyelocytes blood
phenytoin, percent free blood|phenytoin, blood free percent|methadne,urine urie drugs
eos einophils otherbodyfluid|eosinophils other body fluid|bld cryoglobulin
carbamazepine blod qnt|carbamazepine blood|blood folate folic acid
chlesterol, body fluid other ody fluid|cholesterol, body fluid other body fluid|blood cd14
ph boy ohr bodies fluid|ph other body fluid|creatinine, pleural pleural pleural
hematocrit, calculated blood|hematocrit, caculated blood|h/o smear blood
mch blood|mch bld|mesothelialcells fluid random cerebrspinal (csf)
viii factor blood|factor viii blood|uric aci, uric acid urine urine
cd10 one marrow|c10 bone marow|cd8 other body fluid
actor vii blood|blood factorvii|blood cd41
fluid body sodium, other body fluid|bod sodium fluid fluid ohr body boy|screen porphobilinogen urine
bod cyolobulin|blood cyoglbuln|bilirubin, fluid body total, other body fluid
blood cells bite|bite qualitative cells blood|cd59 blood
dha-slfate blood qnt|dhea-sulfate blood quant|triglycerides, chemistry ascites ascites
blod cd15|blood cd15|cholesterol, hdl blood
bite qualitative cells blood|bite cells blood|pttblood
blod rapmycin|mass concentration bld rapamycin|micro bld macroovalocytes
urine ratio protein/creatinine|proein/cretinine ratio urine|blood point in time gentamicin
arrow bone c7|cd7 bone marrow|osmolality, body fluid other body fluid
acetaminophen blood|acetaminophen bld|peep blood
urine crystals, other urine|crystals, urine other urine|bilirubin, direct blood
cd10 one marrow|c10 bone marow|blood cd41
carcinoembyronic blood (cea) antigen|oncology anigen carcinoembyroni (cea)blod|atypical lymphocytes joint fluid
urine cells epithelial|eelial cells urine|lymphs cerbrospinal fluid (csf) white blood cell
pleural total, pleural bilirubin, pleural fluid|total,pleuralpleural billirubin bilirubi,|other casts, urine urine
urine yeast|urine yeast|urine blood
creatine kinase (ck) blood|creatine kinase serpl (ck) bld|blood cd16
synovial fluid fluid joint macrophage|macrophage joint fluid|amylase, body fluid other body fluid
osmolality osmolality, urine urine|osmolality, urine urine|(csf) crebrospinal flui ypersegntedneutrophils
methadone, urine urine|methadne,urine urie drugs|qnt ca-125 bld
pep, cerebrospinal csf fluid (csf)|pep, spinal fld csf csf (csf)|cd19 bonemarrow
level bld digoxin|dioxn bood|fattyurne
nominal eliptocytsblood|ellitocytes blood|bicarbonate, pleural pleural
mmonium biurate uie|ammoium biuate urin|urie sulfonamides
yong cells blood|young cells blood|fetal hemoglobin haemoglobin bld
antibody cell anti-parietal blood|ati-parita cell antbody blood|bld indirect bilirubin, serum
urine marijuana|ua urine marijuana|ascies potassium, ascites
bld, occult chemistry stool|stoo occult blood,|stoolstool bicaronte,
blood deadation products fibrn|fibrin degradation products blood|mass concentration bld rapamycin
bicarbonate bld|bicaroate blood|c3blo
fctor  lod|factor x blood|fluid other body cd7
bone cd45 marrow|d45 marrow boe|creatinine bld
urine casts, other urine|urne other urinecass|burr cells blood
blood magnesium random|lod manesium|follicle stimulating blood hormone
fluid joint fld joint eosinophils|joinfud eosinophils white blood cell|other monos body fluid
hematocrit, calculated blood|hematocrit, volfr calculated bld|bld pulmonary ph
blood chloride cl-|chloride blood|glucose blood
immunoglobulin a bld plsm|a immunoglobulin blood|acetone bld
protein, total blood|total protein, blood|pencil bld cell cells
chloride, urine urine|chloride urine cl- urine|alveolar-arterial gradient blood
chc auto bood|haemoglobin mchc blood|blood tobramycin nebdin
hg urin, qualitatie urine|hcg, urine, qualitative urine|phosphate blood
albumin, body fluid other body quan fluid|albumin, body fluid other body fluid|marrow bone cd23
haptoglobin bld|blood haptoglobin|hypersegmented neutrophils cerebrospinal fluid (csf)
ascites eosinophils|eosinophils ascites|white bld cells bld
cd14 bone marrow|cd4 boe mrow|white bld cells bld
hmatocrit, csf fuid cerebrospinal (csf)|hematocrit, csf cerebrospinal fluid (csf)|po2 blood
inr(pt) blood|r(pt) ood|nrbc cerebrospinal fluid (csf)
lasma ther body fluid|plasma number fraction other body fluid|creatinine, joint fluid joint fluid
hla-drlood|la-dr bood|blood parasite smear blood
qualitative acnhocytes blood|acanthocytes blood|anticrdioipin blood gm anibody
reticulocyte red cell count, blood manual|reticulocyte rbcs blood manual count,|estimated gfr (mdrd equation) blood
blood phosphate|quant blood phosphate|mesothelial cells lkcs other body fluid
urine crystals cysteine|cysteine crystals urine|cd0 blood
ca125blood|bld ca-125 arbitrary concentration|hepatitis hep b blood surface antigen b
ix factor blood|blood ix factor|dioxn bood
blood volume tidal|tidal blood volume|thyroxine (t4) blood mass concentration
cells mesotelial oter body flui|mesothelial cells lkcs other body fluid|cd11c blod
acetone bld|drugs ctone bld|tbg caculated blod
mesothelial cells other body fluid|mesothelial cells other body fluid|amylase, ascites ascites
ammonia blood|blood ammonia|random mch bld
cd1c blood|blood cd11c|blasts bld
bilirubin indiret blood|bilirubin, indirect blood|amylase blood
blood cd138|cd138 blood|albumin, asci asctes
pecet cells, cd blood|cd3 cells, percent blood|cd59 one arow
cholesterol, ldl-c ldl, measured blood|ldl, cholesterol, measured blood|onos ote body lkcs fluid
urie cst hyaline|urine cast hyalin|rine hematorit
atypical lymphocytes (csf) fluid cerebrospinal|atypical lymphocytes cerebrospinal fluid (csf)|flui joit bands
urine bacteria|urine bacteria|creatinine, joint fluid joint fluid
exs bld excess base|base excess blood|cd45 marrow bone
amylase, body fluid bf other body fluid|body mylase, flui otherbodyfuid|creatine kinase ck (ck) bood
bicarbonate, ascites ascites|ascites ascites bicarbonate,|d45 marrow boe
antibody a virus igm hepatitis blood|igm screen a virus hepatitis antibodyblood|random dgoxin blood
blood fmc-7|fmc-7blod|theophylline blood
gamma glutamyltransferase blood|glutamyltransferase gamma blood|stoo occult blood,
nitrogen, urea ascites ascites|urea nitrogen, ascites ascites|granulocyte count blood
opiate screen, urine urine|opiate screen, urine urine|random sedimentation rat lood
heatitis vius igm antibody blood hav|igm screen a virus hepatitis antibodyblood|base excess blood
calculated tbg bld|tbg caculated blod|urine fatty
blood ph|bod ph pulmonology|psa rostae specific antien bld
fragmetd wb cells lood|cells fragmented blood|ascites alb albui,acites
cd22 ther fluid bdy|other cd22 body fluid|chloide, ascts quant ascites
macroovalocytes blood|micro bld macroovalocytes|ntign specific prostate bld
hemoglobin blood|haemoglobin blod hemogloin|hyphenate rn yeast
large platelets blood elect|blood thrombocyte platelets large|alpha-feooteinblood tumor marker
hypersegmented neutrophils cerebrospinal fluid (csf)|(csf) crebrospinal flui ypersegntedneutrophils|gamma glutamyltransferase blood
serum or plasma thyroid antibodies peroxidase bld|thyroid peroxidase antibodies blood|anti-mitochondrial blood antibody
factor blood x|factor x blood|random sedimentation rat lood
microcytes hematology/cell counts bood|microcytes bood|ammonia blood
platelet smear # blood|pltelet smar bld ct|plasma cerebrospinal fluid (csf)
basophils ascites|ascte percent baphils|yest uri
factor xii blood|acto blood xii|creatine kinase ck (ck) bood
nitrogen, urea ascites ascites|ascites nitrogen, uea point in time ascites|urie apperance urine
body other ph log molar concentration fluid|ph other body fluid|thoracentesis fluid creatinine pleural pleura
ystalsurine cysteine|urine crystals cysteine|% hemoglobin a1c blood endocrinology
anti-gliadin antibody antibody, iga bld|anti-gliadin antibody, iga blood|blood acantocytes acanthocyte
anti-gliadin blood iga antibody,|anti-gliadin antibody antibody, iga bld|promyeloytes blood heme
c-reactive protein blood|c-reactive qnt protein blod|phothr fluid body
etadone, universallaborders urine urine|drugs of abuse methadone, urine urine|anti-tyroglobuli antibodies blood quant
blood autoantibodies peoxidse antibodies thoid|thyroid peroxidase antibodies blood|hemoglobin lood
pco2,body fluid carbonic anhydride fluid body other|bod pco2, body fluid other body fluid|crystals bilirbin uine
cd33 bone marrow|arrow one d33|spercytesblood pr
potassium, ascites ascites|acites random potasium scies|thyroglbn thyroglobulin blood
polys other body fluid|body he polys fluid|cd10 other body fluid
sodium, ascites ascites|sodium, random ascites ascites|ammonia blood
glucose, peural leural|pleura pleurl glucose, point in time|eosinophils urn
teardrop blood cells blood|teardrop cels blood|cells mesotelial oter body flui
total urine time collection|total collection time urine|urine appearance urine
cd4/cd8 ratio other body fluid|cd4/cd8 ratio other body flid|cd64 blood
immunofixaton, urine narrative urine|immunofixation, urine urine|urine cysteinecrystals
blood ii factor|factor ii bood|magnesium, urine urine
bicarbonate blood|blood bicarbonate|blood cells bite whole blood
idirectblood bilirubin, hepatology|bilirubin indiret blood|blood cyclosporin
bone cd19 marrow|cd19 marrow bone|toal protein, flud fluid join join
cd38 fluid bod oher|cd38 other body fluid|b hepatitis surface antibody sr bld
count c8 bsolute blood|count asolutecd8 bld|cd138 other fluid body
blood point in time index ck-mb|random ck-mb index bld|sedimenation rate blood red blood cells
anticardiolipin antibody igm blood|nticarolipin blood igm anibod|c-reactive blood protein
amylase, ont syn fl flud joint fluid|amylase, joint fluid joint fluid|hypesegmented neutrohils bood
blood poikilocyosis|poikilocytosis blood|urne urin glucose,
metamyelocytes blood|bloo meamyeocytes quan|chloride, pleural pleural
rbc, pleral pleural|rbc, pleural pleural|marrow bone cd64
po2, chemistry body fluid otr boy luid|body pulmonology body fluid other pco2, fluid|blood gradient alveolar-arterial
blood c4|c4 blood|joint joint fluid rbc, fluid
mesothelial cells other body fluid|mesothelial cells other fluid body|urine appearance urine
anti-mitochondrial blood antibody|atimitochondrilantibody blood ama|hematocrit blood
bld po2 quantitative|po2 bld|cd41 othr luid body
ererospinalflid polys (csf)|polys cerebrospinal fluid (csf)|hepatitis b surface antibody blood
blood hormone luteinizing|luteinizi hormone bloo|carcinoembyronic antigen (cea) blood
plasma ascites|ascites plasma|urie marijuana drugs
factor viii bloo|factor viii blood|luteinizing hormone blood
urea nitrogen, ascites ascites|ea nitrogn, ascitesascites|sperm urne
microscopic blood poikilocytosis|poikilocytosis blood|phenytoin lood
antigen c, protein blood|protein c, antigen blood|fattyurne
creatinine, boy fluidther body fluid|creinie b/f ohe flui body body luid|ld, body fluid other fluid body quantitative
sodium, urine urine|sodium, urine urine|c4 bone arrow
level bld digoxin|digoxin blood|cd13 bone marrow
ph urine|phurine|blood cd11c
creatinine urine urn clearance|creatinine uine clearance quant|pep, spinal fld csf csf (csf)
marrow be d117|bo cd11 marow|cd7 blood
epithelial cells urine|urine cells epithelial|c7 bo marrow
mass concentration quinidine blood|blood qnt quinidine|bilirubin, point in time pleural total, pleural
<albuin>cerebrospinafluid(cerebrospinal fluid) cerebrospinal fl|spinal fluid <albumin> ceebrospinl fuid (csf)|uric urn urine acid, urine
amylase, body fluid other body fluid|amylase, body fluid bf other body fluid|other body fluid glucose, body fluid
ascites basophis|ascte percent baphils|blood peep
mesothelial fluid joint cells|mesothelial fluid joint cells|lymhs erebrospinal fluid (cf) leuk
antibodieblood anti-thyroglobul|anti-tyroglobuli antibodies blood quant|pleural protein, pleural pr total
lymphs cerebrospinal fluid (csf)|lymphs cerbrospinal fluid (csf) white blood cell|blood etamyelocyes
quantitative coutblood granulocyte|blood count granulocyte|mesothelial fluid joint cells
cd45 bone marrow|cd45 marrow bone|2 hr creatnine 24 hours urin
fagt osotic blood fragil|fagilityblood osmotic|hematocrit, otherfluid flui body other percent
f hemoglobin bld|hemoglobin f blood|a immunoglobulin blood
whole blood barbiturate screen blood|barbiturate screen blood|cd14 body other fluid
magnesium, urine urine|urineurine manesium,|blod ptassium
hemogloblin electro a blod|heogoblin a blood|pleural pleural albumin,
random phosphate blood|hosphate blood phosphrous|blood cd56
bod cyolobulin|cryoglobulin blood|cholesterol urine crystals
albumin, asci asctes|albumin scites ascites|tissue transglutaminase ab, iga blood
urine fatty|fattyurne|large platelets blood
urbilinoen urine|urine urobilinogen|macroovalocytes blood
schistocytes bld|blo schistocytes|wbc, jintfluid jintfui
blood thrombocyte platelets large|large platelets blood elect|bilirubin, total, body fluid other body fluid
ldl, cholesterol, measured blood|cholesterol, blood measured ldl,|po2 bld
reptilase time blood|time reptilase blood|calcium crystals phosphate urine
cd22 other body fluid|cd22 ther fluid bdy|nominal eliptocytsblood
tobramycin blood|blood tobramycin nebdin|bld estradiol
phenytoin, percent free blood|phenytoin, percent free blood|atypical cerebrospinal quan lymphocytes fluid (csf)
blood glucose|glucose blood|base excess blood
blood gradient alveolar-arterial|alveolar-arterial gradient blood|quan blood promyelocys
atimitochondrilantibody blood ama|random anti-mitochondrial antibody blood|blood cd14
choleserl, hdl choles blod|cholesterol, hdl blood|beta-2 microglobulin beta2 glob bld
