LOINC_NUM,LONG_COMMON_NAME,SHORTNAME,DisplayName,RELATEDNAMES2,SCALE_TYP
100795-4,s100 calcium binding protein b [mass/volume] in body fluid,s100 ca binding protein b fld-mcnc,s100 calcium binding protein b (body fld) [mass/vol],"b/f; bf; bind; bod; bodies; body fluid; body fluid, unsp; ca; cal; chemistry; fl; fld; flu; fluid; level; mass concentration; point in time; pr; prot; qnt; quan; quant; quantitative; random; s100 ca binding protein b; s-100b; s-100-beta",Qn
100798-8,testosterone free [mass/volume] in serum --2nd specimen post xxx challenge,testost free sp2 p chal ser-mcnc,testosterone free 2nd specimen post unsp challenge (s) [mass/vol],after; chemistry.challenge testing; convalescent; fr; level; mass concentration; non-protein bound; p chal; point in time; post immunization; pst; qnt; quan; quant; quantitative; random; second; serum; sp2; sp2 p chal; spec; sr; testo; testos; testost; testost free; testosterone.unconjugated,Qn
100806-9,vasopressin [moles/volume] in plasma --3rd specimen post xxx challenge,vasopressin sp3 p chal plas-scnc,vasopressin 3rd specimen post unsp challenge (p) [moles/vol],adh; adiuretin; after; antidiuretic hormone; arginine vasopressin hormone; avh; chemistry.challenge testing; level; p chal; pl; plasma; plsm; point in time; pst; qnt; quan; quant; quantitative; random; sp3; sp3 p chal; spec; substance concentration; vp,Qn
100830-9,alpha subunit free [units/volume] in serum or plasma --1st specimen post xxx challenge,alpha subunit free sp1 p chal serpl-acnc,alpha subunit free 1st specimen post unsp challenge qn,acute specimen; after; alfa; alpha subunit free; arbitrary concentration; chemistry.challenge testing; first; fr; non-protein bound; p chal; pituitary glycoproteins; pl; plasma; plsm; point in time; pre immunization; pst; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sp1; sp1 p chal; spec; sr,Qn
100834-1,alpha subunit free [units/volume] in serum or plasma --5th specimen post xxx challenge,alpha subunit free sp5 p chal serpl-acnc,alpha subunit free 5th specimen post unsp challenge qn,after; alfa; alpha subunit free; arbitrary concentration; chemistry.challenge testing; fr; non-protein bound; p chal; pituitary glycoproteins; pl; plasma; plsm; point in time; pst; qnt; quan; quant; quantitative; random; serp; serpl; serplas; serum; serum or plasma; sp5; sp5 p chal; spec; sr,Qn
100839-0,vitamin a/retinol binding protein [ratio] in serum or plasma,vitamin a/retinol bind prot serpl-rto,vitamin a/retinol binding protein [ratio],alpha 2 microglobulin; alpha-2-microglobulin; axerol; axerophthol; bind; biosterol; chemistry; pl; plasma; plsm; point in time; pr; prot; qnt; quan; quant; quantitative; random; ratios; rbp; retinol bind prot; rto; serp; serpl; serplas; serum; serum or plasma; sr; vit a; vit a alcohol; vit a/rbp; vit a1; vit a1 alcohol; vitamin a; vitamin a alcohol; vitamin a binding protein; vitamin a1,Qn
100843-2,liver fibrosis score in serum or plasma by calculated.agile3+,liver fibr score serpl agile3+,liver fibrosis score calculated.agile3+ [score],calc; calculation; chemistry; liver fibr score; pl; plasma; plsm; point in time; qnt; quan; quant; quantitative; random; scale; serp; serpl; serplas; serum; serum or plasma; sr,Qn
100854-9,lymphocytes/cells in blood mononuclear cells by immunoassay,lymphocytes bld mc ia-nfr,lymphocytes/cells ia (bld mc),blood; cell; cellularity; eia; elfa; elisa; enzyme immunoassay; iaa; lymp; lymph; lympho; lymphocyte; lymphs; lymphs%; meia; microbiology; number fraction; pbmc; percent; peripheral blood mononuclear cells; point in time; qnt; quan; quant; quantitative; random; suds; wb; whole blood,Qn
100858-0,cells.cd4+cd154+/cd4 cells in blood --after stimulation with sars-cov-2 spike peptide,cd4+154/cd4 stim covid spike,cells.cd4+cd154+ /cd4 cells after stimulation with sars-cov-2 spike peptide (bld),blood; cd4 cells; cd4+154 cells; cd4+154/cd4 stim covid spike; cd40 ligand; cd40l; cell; cellularity; gp39; helper t cells; id; ii; inducer t cells; infectious disease; infectiousdisease; l3t4; leu3; leu-3; microbiology; number fraction; p stim covid spike; pept; percent; ph; point in time; public health; publichealth; qnt; quan; quant; quantitative; random; severe acute respiratory syndrome; stim; t4; t-4; t-bam; trap; tumor necrosis factor related activation protein; w3/25; wb; whole blood; x-linked hyper igm,Qn
100869-7,cryptosporidium gp60 gene [type] in specimen by molecular genetics method,crypto gp60 spec,cryptosporidium gp60 gene molgen nom (specimen),crypt; crypto; crypto gp60; cryptosporidiosis; microbiology; misc; miscellaneous; molecular genetics; nominal; other; pcr; point in time; random; spec; to be specified in another part of the message; typ; unspecified,Nom
100881-2,mr guidance for cryoablation of bone,mr guided bone cryoablation,,bon; document; finding; findings; guid; guide; guided; imaging; misc; miscellaneous; mitral regurgitation maximum velocity; mri; other; point in time; radiology; random; spec; to be specified in another part of the message; unspecified,Doc
100882-0,mr peritoneum w contrast percutaneous intraperitoneal,mr peritoneum w contr percu,,abd; abdo; abdomen+; abdominal; c; contr; contra; contrst; document; finding; findings; imaging; mitral regurgitation maximum velocity; mri; perc; point in time; radiology; random; w contr pc; w contr percu; wc,Doc
100886-1,orf virus dna [presence] in specimen by naa with probe detection,orf virus dna spec ql naa+probe,orf virus dna naa+probe ql (specimen),3 self-sustaining sequence replication; 3sr sr; amplif; amplification; amplified; deoxyribonucleic acid; dna nucleic acid probe; dna probe; lat; lcr; ligase chain reaction; ligation-activated transcription; microbiology; misc; miscellaneous; naa+probe; naat; nasba; nucleic acid sequence based analysis; ordinal; other; pcr; point in time; polymerase chain reaction; pr; probe amp; probe with ampification; probe with target amplification; qbr; ql; qual; qualitative; random; screen; sda; spec; strand displacement amplification; tma; to be specified in another part of the message; transcription mediated amplification; unspecified,Ord
100901-8,enterobacteriaceae.carbapenemase resistance phenotype [identifier] in anal by organism specific culture,enterobac.carb res anal cult,enterobacteriaceae.carbapenemase resistance phenotype org specific cx (anal),anus; c&s; carbapenem-resistant klebsiella pneumoniae; cre; crkp; cult; cultures; enterobac.carb res; hodge test; identity or presence; microbiology; nominal; point in time; random; rectal specimen; resist; resistanc; resistant; resistent; spec,Nom
100902-6,enterobacteriaceae.carbapenemase resistance phenotype.oxa-48 [identifier] in anal by organism specific culture,enterobac.carb res oxa-48 anal cult,enterobacteriaceae.carbapenemase resistance phenotype.oxa-48 org specific cx (anal),anus; c&s; carbapenem-resistant klebsiella pneumoniae; cre; crkp; cult; cultures; enterobac.carb res; enterobac.carb res oxa-48; hodge test; identity or presence; microbiology; nominal; point in time; random; rectal specimen; resist; resistanc; resistant; resistent; spec,Nom
100907-5,vancomycin resistant enterococcus [identifier] in specimen by organism specific culture,vre spec cult,vancomycin resistant enterococcus org specific cx nom (specimen),c&s; c162; cult; cultures; identity or presence; microbiology; misc; miscellaneous; nominal; other; point in time; random; spec; to be specified in another part of the message; unspecified; vanc; vancocin; vancor; vre; vre screen,Nom
100919-0,access to help with product of interest,,,access to help prod of interest; finding; findings; ordinal; point in time; ql; qual; qualitative; random; screen; survey; survey.gnhlth,Ord
100938-0,feel safe outside home,,,finding; findings; ordinal; point in time; ql; qual; qualitative; random; screen; survey; survey.gnhlth,Ord
100940-6,neighbor relationships panel [r-outcomes],,,pan; panel.survey.r-outcomes; panl; pnl; point in time; r prime; random; right; survey; survey.r-outcomes,-
100947-1,frequency of having no one to talk to,,,finding; findings; freq of having no one to talk to; ordinal; point in time; ql; qual; qualitative; random; screen; survey; survey.mtlhlth,Ord
100948-9,frequency of feeling left out,,,finding; findings; freq of feeling left out; l; lt; ordinal; point in time; ql; qual; qualitative; random; screen; survey; survey.mtlhlth,Ord
100951-3,loneliness office of national statistics panel,,loneliness office of national statistics panel,loneliness ons panel; pan; panel.survey.r-outcomes; panl; pnl; point in time; r prime; random; right; survey; survey.r-outcomes,-
100953-9,product confidence score [r-outcomes],,,point in time; qnt; quan; quant; quantitative; r prime; random; right; scale; survey; survey.r-outcomes,Qn
100954-7,product of interest use,,,finding; findings; ordinal; point in time; ql; qual; qualitative; random; screen; survey; survey.gnhlth,Ord
10098-2,st slope in lead ii,st slope l-ii,,2; amperage; cardiac; cardio; cardiology; ecg; ekg.measurements; electrocardiogram; electrocardiograph; heart disease; hrt; painter's colic; pb; plumbism; point in time; qnt; quan; quant; quantitative; random; st slope l-ii; voltage rate,Qn
100997-6,"respiratory allergen panel, area 5 - serum","respiratory allergen panel, area 5 ser","respiratory allergen panel, area 5 (s)",allergen; allergens; allergy testing; alrgen; pan; panel.allergy; panl; pnl; point in time; random; resp allergen pnl; serum; sr,-
101009-9,integrative medicine history and physical note,integrative medicine h&p note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; h&p note; hx; integrated medicine; notes; point in time; random; visit note,Doc
101010-7,bariatric surgery history and physical note,bariatric surg h&p note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; h&p note; hx; metabolic and bariatric surgery; notes; point in time; random; surg; visit note,Doc
10101-4,st slope in lead v2,st slope l-v2,,amperage; cardiac; cardio; cardiology; ecg; ekg.measurements; electrocardiogram; electrocardiograph; heart disease; hrt; painter's colic; pb; plumbism; point in time; qnt; quan; quant; quantitative; random; st slope l-v2; voltage rate,Qn
101023-0,orthotics prosthetics history and physical note,orthotics prosthetics h&p note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; h&p note; hx; notes; point in time; random; visit note,Doc
101031-3,chiropody consult note,chiropody consult note,,consult note; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; point in time; random; visit note,Doc
101040-4,integrative medicine procedure note,integrative medicine procedure note,,doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; integrated medicine; notes; point in time; random; visit note,Doc
101047-9,undersea and hyperbaric medicine consult note,undersea+hyperbar consult note,,consult note; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; point in time; random; undersea+hyperbar; visit note,Doc
101049-5,anesthesiology surgical operation note,anesthesiology operative note,,anesthesia; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; notes; operative note; point in time; random; surg; visit note,Doc
101058-6,geriatric medicine team conference note,geri med team conf note,,conf note; doc.ont; document; encounter; evaluation and management; evaluation and management note; finding; findings; geri med; geri med team; gerontology; notes; point in time; random; visit note,Doc
101059-4,geriatric medicine letter,geri med letter,,doc.ont; document; finding; findings; geri med; gerontology; point in time; random,Doc
101064-4,co3 ag ag [presence] on red blood cells,c little o3 ag rbc ql,co3 ag ag ql (rbc),antigen; antigens; blood bank; co3 ag; erythrocytes; ordinal; point in time; pr; ql; qual; qualitative; random; red blood cells; red blood corpusles; screen,Ord
101077-6,dr^a ab [presence] in serum or plasma,dr^a ab serpl ql,dr^a ab ql,abs; aby; antby; anti; antibodies; antibody; autoantibodies; autoantibody; blood bank; dextro; dr^a; dr^a ab; ordinal; pl; plasma; plsm; point in time; pr; ql; qual; qualitative; r prime; random; right; screen; serp; serpl; serplas; serum; serum or plasma; sr,Ord
