anticadiolin antibdy ig blood|anticardiolipin igg antibody blood|body other cd7 fluid
luteinizing hormone blood|luteinizing hormone blood|chloride, body fluid other body fluid
stool occult blood, faeces|blood, occult stool|cells epithelial urine
triple phosphate crystals urine|urine phosphate crystals triple|blood hematocrit
troponin i blood|troponin i bld|mtamyelocyteother body fluid
eosinophils cerebrospinal fluid (csf)|eosnophilscerebrospinal spinal flu (csf) fli|oxygen saturation quant blood
blood triglycerides|triglycerides blood|cerebrospinal fl myelocytes cerebrospinalfld (cf)
fmc-7 fluid body other|fmc-7 other body fluid|reatiine, pleural leural
potassium, ascites ascites|potassium, ascites random ascites|non-squamous epithelial urine cells
albumin, pleural pleural|pleural abumin, plura|blood hemoglobin
calcium, fluid body other body fluid|fuid boy calcium, other body fluid|blood cd59
marrow bne cd41|cd41 marro bone|mesothelial cells (csf) fluid cerebrospinal
urine color urine|urine urine color|lymphocytesjoint fluid leukocyte
hcg, qualitative urine, urine|urne, hcg, qual urine|bld vancomycin
potassium, blood blood whole|blood whole potasium, blood|phosphatase alkaline blood
blood thyroglobulin|blood pl thyroglobulin|bone cd23 marrow
blood v factor|factor v blood|blood cortisol
ceatinine 24hr urin|creatinine hr 24 urine|epithlia ell urin
porphobilinogen screen urine|pophbilinogn urine cren heme|blood cd138
creatinine hr 24 urine|24 hr creatnine urine mrate|blood cd22
transferrin blood|iron mass concentration binding cpacity, totalblood|hematocrit, hematology/cell counts csf cerebrospinal fluid (csf)
other cd10 body fluid|cd10 flid dy othr|fmc-7 bood
hyaline urine casts|hyaline urine casts|blood basophils
estradiol blood|stradiol bood|ascites ascites creatinine,
choleserol, pleural peural|pleural pleural cholesterols cholesterol,|xiii factor blood
reatine serplas kinase, mb isoezme blod|creatine kinase, mb isoenzyme blood|myoglobin, urine urine
penil cells cell bl|cells pencil blood|blood bodies pappenheimer
protein s, anigen blod|antigen s, protein blood|blood cd7
wbc casts urine|casts wbc urine|blood netrophils
blood netrophils|neutrophil bood|trichomonas urine
blood cd19|blood cd19|rbc, csf cerebrospinal fluid (csf)
factor v blood|facor  blood|cd59 blood
spinal fld albi>cerebrospinal fluid cf)|<abumin> cerebrospinal fluid (csf)|fibrn dadtion bloo prodcts
ql prep heinzbo lood|heinz qualitative body prep blood|cholesterol crystals urine
point in time atypical lymphocytes pleural|atypical lymphocytes pleural|cd4/cd8 ratio other body fluid
procainamide serum or plasma bood|procainamide blood|marrow bone cd8
iron blood|iron bloo|hepatitis b virus core antibody bld liver
blood gastrin|gastrin quan bld|bone cd5 marrow
quanitative g6pd blood phosphorous|blood g6pd quantitative red blood corpusles|icroglobuli bet-2 beta2 glob blood
ferritin blood quantitative|ferritinblod|clcium hosphate crysta urine
triglyceride, pleural pleural random|trigcerides,pleuralpleural mass concentration|wbc, fluid joint joint fluid random
hypochromia microscopic bld|hypochromia blood|cd103 bone marrow
blod mylase|blod plasma amylase|random glucose, urine urie
hypochromia blood|blood hypochromia|calcim oxalate urine crstals
volume tidal blood|tidal volume blood|blood salicylate
amylae blod|amylase blood|iron stain bone marrow
cerebrospinal fluid spinal fl cerbrosinafluid blasts|fluid cerebrospinal blasts (csf)|lood thrombin
calcium, totalblood|quan calcium, blood total|blood carboxyhemoglobin
rheumatoid blood enzyme immunoassay factor|factor rheumatod lood|alkaline leukocyte phosphatase blood
colesterl, cholesterols totl bloo|cholesterol, blood total|acanthocytes blood whole blood
thoracentesis fluid myas, lerl pleral|thoracentesis fluid amylase, pleural pleural|24 mrate hr calcium urine
(ld) dehydrogenase lactate blood|lacate deydrogenase (ld) bood|lipase, ascites ascites catalytic concentration
lymphocytes ascites|lymphocyteasctes|protein, toal blood universallaborders
creatinine, urine urine renal|urine urine creatinine,|oxygen blood
blod cd13|cd13 blood|urine fat bodies ordinal urine
urine ketone|urine ketone|blood cd38
throbin bood|blood romin|phosphate, urine urine level
metamyelocytes percent other body fluid|metamylocyts other body fluid|cd11c other body fluid
urine universallaborders ph|ph urine|osmolality, universallaborders blood measured
blood cd33|cd33 blood|creatinine, pleural pleural
calcium, total blood|clciu total blod|troponin t blood universallaborders
hyaline urine casts|hyalin casts urine|anti-smooth blood antibody muscle
amonum birate urne|ammonium biurae urine|sodium blood
follile stimulaing sr blood hormon|follicle stimulating hormone blood universallaborders|protein functional s, blood
macropages quant pleural|pleural macrophages qnt|a qnt hemogloblin bld
blood cortisol|cortisol blood cort|blood tota bilrubin,
benzodiazepine blood screen|wb benzodiazepine screen bld|polys ascites
cd4/d8 atio lood|blood ratio cd4/cd|amonum birate urne
parathyroi blood rmone|parathyroid intact parathormone hormone blood|blood cd56
other a glyco body fluid|gycoa flud bod othr|cyclosporin ciclosporin bld
fluid body other type fluid|fluid type fluid body other|blood, occult stool
cd5 blood|cd15 blood|viscosity serum blood
rd ood cells blood|red blood blood cells quan|bone cd19 marrow
fluid joint ld, joint fluid|l-lactate ld, fluid fluid joint joint|xii factor blood
hyphenated urine yeast|hyphenated yeast urine|lymphoyte,percent blood
phosphate, body fluid other body fluid|phospte, ody fu oter boy fluid|hypochromia blood point in time
blood triglycerides|riglycerides blood|count/volume mnocyte count blo
cd10 blood|blood cd10|potssium, potass body body fluidother flui
schistocytes blood|bld ql schistocytes|blod lipe
factor ii blood|factor bood ii|asctes ascitic fluid ascies wbc,
lipase bld quantitative|blod lipe|basophils joint fluid
hemoglobin c blood|blood c hemoglobin|urine crystals, urine other
urine universallaborders ph|urine ph|functional fibrinogen, blood
blood gastrin|gastrin blood|cd5 marrow bone
calcium phosphate urine crystals|calcium phosphate crystals urine|rbc asts urn
epithelial non-squamous cells urine|nonsquamous epithelial urine cell|count monocyte count blood
absolute lymphocyte blood count|absolute lymphocyte count blood lympho|urine sperm
liase flu body uid other ody flui|lipase, body fluid other body fluid|total protein, csf cerebrospinal fluid (csf)
platelet cont blood|blood plateletcout random|microcytes ordinal blood
benzodiazepine screen, ur pr urine|bnzodizepine scren, urine urine qualitative|cd10 other body fluid
blood pco2|blood pco2|bands blood
blood neutrophils|neutrophil bood|ld, fluid fluid joint joint
platelet smear bld|platelet smear blood|cholesterol ratio (total/hdl) blood cardiology
equation) gfr mdrd estimated bld|estimated gfr (mdrd equation) blood|blood anisocytosis
hepatitis c hepatit antibody virus bld|antibodies blood c virus anibdy hepaitis|bicarbonate, urine urin
glyco a bone marrow|glyco a marrow bone|white blood cells ascie polys
urne yeast hypheated|urine hypenatedyeast|blood cd33
urine blood|urine blood|protein electrophoresis blood
valproic acid blood|acidblood valproi|ammonia blood
white blood cells cerebrospinal eosinophils fluid (csf)|eosinophils csf (csf)|hyalin casts urine
ai-smoth antibody muscle blood|anti-smooth blood antibody muscle|lood thrombin
urine urine other crystals,|urine crystals, urine other|urine sperm
chloride, whole blood blood|whole chloride, blood blood|amorphous crystals urine
serum hepatitis b surface antibody blood|antibody b surface hepatitis blood|rbc urine
blood cell sickle cells preparation sickle|ql prearation cell sick blood|blood oxygen
factor ix blood|factor blood i|fmc-7 blood
osmolality, other fluid body body fluid|osmolality, body fluid other body fluid|bilirubin urine crystals
follicle stimulating hormone blood universallaborders|follicle stimulating hormone blood|blood cd138
burr micro cells lood|burr cells bld|henytin, free blood serum or plasma
total binding capacity, iron blood|blood transferrin|hemoglobin hb c bld
methadone, ordinal urine urine|urine methadone, urine|blood antibod anti-mitochndrial
otassium, level urine urine|potassium, urine qnt urine|hyaline urine casts
fuid boy calcium, other body fluid|calcium, body chemistry fluid other body fluid|pleural macrophages qnt
iron bloo|iron blood|red cells blood whole blood blood
prt creatinine, ascites ascites|creatinine, ascites ascites|pl bld thyroglobulin
blood phenytoin|phentoin blood zentropil|beta-2 microglobulin blood
blood count wbc|blood count wbc|urine specimen type urine
blood kinase (ck) creatine plasma|creatine kinase (ck) bod|chemistry cholesterol, body fluid other body fluid
blood vancomycin|plsm vancomycin blood|fluid body po2, other body fluid
immunofixation, urine urine|immunofixation, report urine urine|hormone luteinizing blood
urine wbc|urine wbc|enelop bld cells
methadone, urine urine|urne potentialforabuse methadone, uine|total ascites protein, ascites
blood count wbc|absolute wbc count blood|phosphate, body fluid other body fluid
marrw cd103bone|cd103 bone marrow|cd8 bone marrow
basophils joint fld joint fluid|basophils jit flud quan|urine casts, other urine
calculated bood (t4) index throxine|(t4) tyroxin calclated inex blod|body other cd19 fluid
rine bicar bicrbonte, urine|bicaonate, urne urie|blood hypochromia
carboxyhemoglobin blood|carboxyhemoglobin bloo carbon monoxide.hemoglobin|phosphate, urine urine
macrovalocytes blood|macroovalocytes blood|hepatitis b igm antibody, core blood hepb
carcinoembyronic antigen tumor marker (cea) blood|carciebyronc antigen (cea) antigens blod|cd103 marrow bone
cd103 bone marrow|cd103 marrow bone|cd14 bone marrow
blood cd34|blood cd34|bld hormone parathyroid
total cerebrospinal universallaborders cs proein, fluid (csf)|quantitative tol protein, csf cerebropinal luid (csf)|urinerine chemistry albuin,
cd15 other fluid body|cd15 other body fluid|cd5 other fluid body
blood (t3) triiodothyronine|blood (t3) quant triiodothyronine|phsphate, urine uine
atypical lymphocytes pleural|lung atypical plural ymphocytes|hepatitis abs a virus antibody bld
white blood cell plasma cells leurl|plasma pleural cells|blood cd41
24 hr calcium urine|24 mrate hr calcium urine|uric acid crystals urine
cd138 bloo|d138 blood|lmw heparin, blood
cd2 bone marrow|cd2 marrow bone|ratio uptake blood
percent eosinophils ascites|eosinopil ascits|bilirubn, direct blood liver
ferritin blood|ferritin blood|immunofixation, urine urine
potassium, urine qnt urine|potassium, urine urine ur|plasma cells pleural hematology/cell counts
lood parasite blood infectious disease smar|parasite bld smear bld|blood cd34
blood v factor|blood v factor|glucose, joint fluid joint fluid
blood cd138|cd138 blood|hepatiti bcore antibody, hepatis igm blood
calculated total co2 blood|clculated tota co2 blood|ascites basophils
sulfoamides uie|sulfonamides urine|wbc, joint fluid joint fluid
hematocrit, other fluid body other fluid|fld other ther fluid ematocrit body fluid|trichomonas rin
ser or plasma phenytoin, free blood|phenytoin, free blood|urine ua screen, urine barbiturate
tpical ascites ascites lympocytes|wbc atypical lymphocytes ascites|blood wb white cells bood
ascites wbc, ascites|ascites ascites wbc,|wbc, joint fluid joint fluid
mch hb bloo|bld mch haemoglobin|body other cd11c fluid
ck-mb index blood|ck-mb blood ck-mb index|pleural bicarbonate, pulmonology pleural
phosphate, body fluid other body fluid|phosphate, body fluid other body fluid|transferrin blood
polys gran ascites|polys quan ascites|bands other body fluid
marrow bone cd10|bone cd10 arrow|sodium, body fluid other body fluid
the d19 body fluid|cd19 other body fluid|hormone luteinizing blood
mylase,pleural pleural|amylase, pleural pleural|sugar qualitative blood tes water
bloo sear h/o|h/o smear blod|mitochon anti-mitochondrial bld antibody
bld gluc glucose|blood glucose|calculated total co2 blood
blood serum closorin|cyclosporin blood|polys cerebrospinal fluid (csf)
quantitative g6pd g6pd lood|uatitativeg6pd quantitative lood|blood inr(pt)
bactriaurine|bacteria urine|boy protein, toal bod fluid other bodyfluid
ur urine ph|urine ph|nirite urine
bood acanthocytes ql|acanthocytes blood whole blood|choleserol, pleural peural
acid uric blood|uric acidblood|nrbc nuc cerebrospinal fluid (csf)
othe cd1c bdy flud|cd11c other body flud|lymphocytesjoint fluid leukocyte
ascites leuk eosinophils|percent eosinophils ascites|bicarbonate blood
i pospatase bld plsm|acid phosphatase blood|bood acanthocytes ql
pco2 blood|blood pco2|marrow bne cd7
urine wbc|urine wbc|fluid ceebrospinal bands (sf)
cd20 body other fluid|cd20other body fluid|alcohol ethanol bood
cd7 blood|blood cd7|urineurine magnsum,
othebody bands fluid|neutr bands other body fluid|other cd2 body fluid
immunoglobulin g blood|munogluin g blod|boy other la-dr fluid
cd103 bone marrow|marrow bone cd103|lacate deydrogenase (ld) bood
joint creatinine, fluid joint random fluid|creatinine, joint fluid joint fluid|body other cd45 fluid
on willbrnd activty factor lood|von blood factor activity willebrand|lymphocytes random ascites
blood ii factor|factor bood ii|bld serum or plasma albumin
hypochromia blood point in time|blood hypochromia|amylase, jont fluid join fluid
body other cd19 fluid|cd19 other body fluid|body other cd38 fluid
cd1 blood|cd19 blood|bands cerebrospinal fluid (csf)
quant ibody,iga nti-gliadin bld|iga antibody, autoantibodies anti-gliadin blood|creatine kinase, pl isoenzyme mb blood
blood pl salicylate|salicylate bld|fmc-7 bood
cd20other body fluid|cd20 body other fluid|epithelial cells urine
stool stool chloride,|stool chloride, stool|calculated thyroxine (t4) plasma blood index
blood cd15|cd15 blood|blood cd34
munogluin g blod|immunoglobulin g blood|cd11c other body fluid
blood lung pco2|blood pco2|ascites monocytes
follice hormonelood stmulatin|follicle stimulating hormone blood universallaborders|blood random estradiol
glyco a blood|a glyco bood|chloride, body fluid other body fluid
blood xii factor|blood xii factor|holesterol rati tot/hl) blood
calcium phosphate urine crystals|clcium hosphate crysta urine|ammonium biurate urine
fluid other body cd41|fluid other body cd41|cd13 bone marrow
magnesiu, body luid othr ody fluid|magnesium, other flui boy body fuid|cell polys othe body flu
